id,TOXICITY,INSULT,THREAT,PROFANITY,IDENTITY_ATTACK
0,0.0006283031,0.004869485,0.005271582,0.007792423,0.00013411723
1,0.040925518,0.023028618,0.0059095654,0.023311393,0.005253696
2,0.65996873,0.5130944,0.6738745,0.2356715,0.5135796
3,0.37751234,0.40243408,0.34804323,0.0887236,0.2772088
4,0.009738698,0.0105148945,0.0053092055,0.010809111,0.00061046466
5,0.60311776,0.48484445,0.6400273,0.26098207,0.052490227
6,0.103060275,0.06354945,0.00866054,0.020442016,0.004402745
7,0.005340576,0.006648371,0.0056312317,0.010108846,0.0006428378
8,0.25727063,0.24767025,0.024062606,0.048425674,0.026207991
9,0.010492661,0.008747884,0.0065050707,0.010091767,0.0017388993
10,0.10175867,0.030375287,0.045572113,0.020851927,0.0233943
11,0.009550206,0.008044879,0.0063238298,0.014566627,0.0014706649
12,0.0038169413,0.006192368,0.0053973985,0.009767254,0.00046478558
13,0.12086493,0.09563028,0.0059322207,0.02126184,0.008546505
14,0.032627538,0.022190686,0.0062008454,0.012517073,0.0034223017
15,0.005780388,0.007303875,0.0053949715,0.010245483,0.0009341959
16,0.03781283,0.021094928,0.005848073,0.024609445,0.0032743104
17,0.009298885,0.008690883,0.0060778605,0.010330882,0.0011191851
18,0.20839658,0.075868964,0.2836219,0.03840541,0.006178642
19,0.0051520853,0.0068668723,0.0054742643,0.009348803,0.00062433886
20,0.1140901,0.01890341,0.06593887,0.058445938,0.006955597
21,0.004005432,0.006002367,0.0054775006,0.009664777,0.0005665297
22,0.3969567,0.25602314,0.010214032,0.26583168,0.45610145
23,0.0054662367,0.00652487,0.005458082,0.009903891,0.0014799143
24,0.35186127,0.40975618,0.006356194,0.08096472,0.026810925
25,0.015204934,0.012300906,0.0056894873,0.013302735,0.0014706649
26,0.38601747,0.3416952,0.00756015,0.5643384,0.018872296
27,0.36095104,0.44802538,0.0072753434,0.11539881,0.008657498
28,0.011120965,0.007322875,0.0056377044,0.017367685,0.000656712
29,0.21508642,0.08533409,0.2836219,0.064458095,0.01666154
30,0.25084448,0.06512285,0.006653947,0.6983885,0.0051427023
31,0.115658075,0.06319981,0.009877442,0.07611542,0.0073255757
32,0.4269174,0.34101152,0.52547425,0.19278693,0.036878675
33,0.3389984,0.3388922,0.07093142,0.0715894,0.3758158
34,0.78207105,0.7497506,0.36820486,0.58072567,0.70098627
35,0.0103670005,0.009526889,0.0054629366,0.00993805,0.0004994711
36,0.05378982,0.02212623,0.017328756,0.018802373,0.0039587705
37,0.012817383,0.012186904,0.005327815,0.0098868115,0.00067058613
38,0.016964182,0.010400894,0.005854546,0.018392462,0.0010636884
39,0.054284602,0.013782915,0.008362788,0.018597418,0.030175667
40,0.049831573,0.027218282,0.012906751,0.013234417,0.0013411723
41,0.16098402,0.07270074,0.0066345283,0.124631,0.010729378
42,0.006283031,0.0074368757,0.0053884983,0.009630617,0.0009064475
43,0.009550206,0.008044879,0.0063238298,0.014566627,0.0014706649
44,0.09828771,0.017356457,0.06270605,0.046171114,0.0048097214
45,0.01847211,0.014580919,0.0056506502,0.013200258,0.0014429165
46,0.23162876,0.22303216,0.012337137,0.08128801,0.07921951
47,0.0031101003,0.005703115,0.0053108237,0.008819335,0.000353792
48,0.9029226,0.87896585,0.027688526,0.9205162,0.458714
49,0.005717558,0.0069238725,0.005428954,0.010450439,0.00072145823
50,0.26859093,0.16824563,0.34804323,0.04642162,0.007473567
51,0.009927189,0.008899884,0.0055875396,0.008819335,0.0024973555
52,0.013005874,0.010248893,0.0055713574,0.010569996,0.0021551251
53,0.005497652,0.006847872,0.005427336,0.009920971,0.00074458186
54,0.01847211,0.0113509,0.007547205,0.0166845,0.0020163832
55,0.0054662367,0.00654387,0.0055292835,0.011543535,0.0006289636
56,0.65996873,0.36798462,0.73375875,0.24818924,0.030949092
57,0.032156147,0.022770792,0.0060325502,0.011509376,0.0024603575
58,0.3389984,0.28586254,0.007819066,0.06345607,0.36702603
59,0.06381883,0.024897853,0.022163315,0.022628209,0.002552852
60,0.019477395,0.011236899,0.008194493,0.01442999,0.0013781702
61,0.022021262,0.015948927,0.005526047,0.011150704,0.0022568693
62,0.21508642,0.05086332,0.34804323,0.060951006,0.009175468
63,0.8778702,0.87225974,0.014393489,0.84506536,0.36702603
64,0.112540044,0.07238392,0.0059807673,0.015967157,0.030175667
65,0.27975297,0.3388922,0.009204263,0.07320584,0.013646871
66,0.027206551,0.01890341,0.0058869105,0.013029462,0.0018591423
67,0.509388,0.54471385,0.19862294,0.67055607,0.28034934
68,0.165053,0.056719027,0.016465442,0.02836696,0.054763943
69,0.30427247,0.24493282,0.2857609,0.06746418,0.10221587
70,0.006125955,0.0068098716,0.0054499907,0.010962827,0.000353792
71,0.11223003,0.056133457,0.067232,0.026317406,0.00880549
72,0.2854869,0.16195811,0.2836219,0.10178173,0.018872296
73,0.002890194,0.0056461147,0.005401444,0.009254865,0.0006937098
74,0.0069741644,0.0076268767,0.0054240995,0.010057608,0.0009573196
